Test number,Path,File name,Image description,Text,Comments,Language,tessedit_char_blacklist=,tessedit_char_unblacklist=,tessedit_char_whitelist=,page_separator=,Pass/Fail
40,images,40_testType_sub_lang_Arial_20.png,all Hebrew and Swedish letters and all special characters  ,"אבגדהוזחטיכלמנסעפצקרשתםףץן
bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,heb+swe,None,None,None,None,Fail
41,images,41_testType_sub_lang_Arial_20.png,all Hebrew and Spanish letters and all digits  ,"אבגדהוזחטיכלמנסעפצקרשתםףץן
ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ0123456789
",,heb+spa,None,None,None,None,Fail
42,images,42_testType_sub_lang_Arial_20.png,all Hebrew and Spanish letters and all special characters  ,"אבגדהוזחטיכלמנסעפצקרשתםףץן
ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,heb+spa,None,None,None,None,Fail
43,images,43_testType_sub_lang_Arial_20.png,"all Hebrew letters, all digits and all special characters  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
0123456789
~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,heb,None,None,None,None,Fail
44,images,44_testType_sub_lang_Arial_20.png,all Swedish and Spanish letters and all digits  ,"bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ0123456789
",,swe+spa,None,None,None,None,Fail
45,images,45_testType_sub_lang_Arial_20.png,all Swedish and Spanish letters and all special characters  ,"bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,swe+spa,None,None,None,None,Fail
46,images,46_testType_sub_lang_Arial_20.png,"all Swedish letters, all digits and all special characters  ","bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
0123456789
~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,swe,None,None,None,None,Fail
47,images,47_testType_sub_lang_Arial_20.png,"all Spanish letters, all digits and all special characters  ","ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ0123456789
~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,spa,None,None,None,None,Fail
48,images,48_testType_sub_lang_Arial_20.png,"all English, Hebrew, Swedish, Spanish letters  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
אבגדהוזחטיכלמנסעפצקרשתםףץן
bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ",4 elements sets,eng+heb+swe+spa,None,None,None,None,Fail
49,images,49_testType_sub_lang_Arial_20.png,"all English, Hebrew, Swedish letters and all digits  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
אבגדהוזחטיכלמנסעפצקרשתםףץן
bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
0123456789
",,eng+heb+swe,None,None,None,None,Fail
50,images,50_testType_sub_lang_Arial_20.png,"all English, Hebrew, Swedish letters and all special characters  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
אבגדהוזחטיכלמנסעפצקרשתםףץן
bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,eng+heb+swe,None,None,None,None,Fail
51,images,51_testType_sub_lang_Arial_20.png,"all English, Hebrew, Spanish letters and all digits  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
אבגדהוזחטיכלמנסעפצקרשתםףץן
ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ0123456789
",,eng+heb+spa,None,None,None,None,Fail
52,images,52_testType_sub_lang_Arial_20.png,"all English, Hebrew, Spanish letters and all special characters  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
אבגדהוזחטיכלמנסעפצקרשתםףץן
ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,eng+heb+spa,None,None,None,None,Fail
53,images,53_testType_sub_lang_Arial_20.png,"all English and Hebrew letters, all digits and all special characters  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
אבגדהוזחטיכלמנסעפצקרשתםףץן
0123456789
~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,eng+heb,None,None,None,None,Fail
54,images,54_testType_sub_lang_Arial_20.png,"all English, Swedish, Spanish letters and all digits  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ0123456789
",,eng+swe+spa,None,None,None,None,Fail
55,images,55_testType_sub_lang_Arial_20.png,"all English, Swedish, Spanish letters and all special characters  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,eng+swe+spa,None,None,None,None,Fail
56,images,56_testType_sub_lang_Arial_20.png,"all English and Swedish letters, all digits and all special characters  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
0123456789
~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,eng+swe,None,None,None,None,Fail
57,images,57_testType_sub_lang_Arial_20.png,"all English and Spanish letters, all digits and all special characters  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ0123456789
~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,eng+spa,None,None,None,None,Fail
58,images,58_testType_sub_lang_Arial_20.png,"all Hebrew, Swedish, Spanish letters and all digits  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ0123456789
",,heb+swe+spa,None,None,None,None,Fail
59,images,59_testType_sub_lang_Arial_20.png,"all Hebrew, Swedish, Spanish letters and all special characters  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,heb+swe+spa,None,None,None,None,Fail
60,images,60_testType_sub_lang_Arial_20.png,"all Hebrew and Swedish letters, all digits and all special characters  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
0123456789
~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,heb+swe,None,None,None,None,Fail
61,images,61_testType_sub_lang_Arial_20.png,"all Hebrew and Spanish letters, all digits and all special characters  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ0123456789
~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,heb+spa,None,None,None,None,Fail
62,images,62_testType_sub_lang_Arial_20.png,"all Swedish and Spanish letters, all digits and all special characters  ","bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ0123456789
~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,swe+spa,None,None,None,None,Fail
63,images,63_testType_sub_lang_Arial_20.png,"all English, Hebrew, Swedish, Spanish letters and all digits  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
אבגדהוזחטיכלמנסעפצקרשתםףץן
bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ0123456789
",5 elements sets,eng+heb+swe+spa,None,None,None,None,Fail
64,images,64_testType_sub_lang_Arial_20.png,"all English, Hebrew, Swedish, Spanish letters and all special characters  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
אבגדהוזחטיכלמנסעפצקרשתםףץן
bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,eng+heb+swe+spa,None,None,None,None,Fail
65,images,65_testType_sub_lang_Arial_20.png,"all English, Hebrew and Swedish letters, all digits and all special characters  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
אבגדהוזחטיכלמנסעפצקרשתםףץן
bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
0123456789
~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,eng+heb+swe,None,None,None,None,Fail
66,images,66_testType_sub_lang_Arial_20.png,"all English, Hebrew and Spanish letters, all digits and all special characters  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
אבגדהוזחטיכלמנסעפצקרשתםףץן
ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ0123456789
~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,eng+heb+spa,None,None,None,None,Fail
67,images,67_testType_sub_lang_Arial_20.png,"all English, Swedish and Spanish letters, all digits and all special characters  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ0123456789
~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,eng+swe+spa,None,None,None,None,Fail
68,images,68_testType_sub_lang_Arial_20.png,"all Hebrew, Swedish and Spanish letters, all digits and all special characters  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ0123456789
~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,heb+swe+spa,None,None,None,None,Fail
69,images,69_testType_sub_lang_Arial_20.png,"all English, Hebrew, Swedish and Spanish letters, all digits and all special characters  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
אבגדהוזחטיכלמנסעפצקרשתםףץן
bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ0123456789
~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",6 element set,eng+heb+swe+spa,None,None,None,None,Fail
70,images,70_testType_fonts_Aharoni Bold_8.png,"all Hebrew letters, Aharoni Bold font, size 8","אבגדהוזחטיכלמנסעפצקרשתםףץן
","font type pictures (boundary values sizes, .png file format)",heb,None,None,None,None,Fail
71,images,71_testType_fonts_Aharoni Bold_8.png,"all English letters, Aharoni Bold font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
72,images,72_testType_fonts_Aharoni Bold_72.png,"all Hebrew letters, Aharoni Bold font, size 72  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
73,images,73_testType_fonts_Aharoni Bold_72.png,"all English letters, Aharoni Bold font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
74,images,74_testType_fonts_Arial_8.png,"all Hebrew letters, Arial font, size 8  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
75,images,75_testType_fonts_Arial_8.png,"all English letters, Arial font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
76,images,76_testType_fonts_Arial_72.png,"all Hebrew letters, Arial font, size 72  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
77,images,77_testType_fonts_Arial_72.png,"all English letters, Arial font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
78,images,78_testType_fonts_Arial Black_8.png,"all English letters, Arial Black font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
79,images,79_testType_fonts_Arial Black_72.png,"all English letters, Arial Black font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Pass
80,images,80_testType_fonts_Bahnschrift_8.png,"all English letters, Bahnschrift font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
81,images,81_testType_fonts_Bahnschrift_72.png,"all English letters, Bahnschrift font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
82,images,82_testType_fonts_Calibri_8.png,"all Hebrew letters, Calibri font, size 8  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
83,images,83_testType_fonts_Calibri_8.png,"all English letters, Calibri font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
84,images,84_testType_fonts_Calibri_72.png,"all Hebrew letters, Calibri font, size 72  ","אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None,Fail
85,images,85_testType_fonts_Calibri_72.png,"all English letters, Calibri font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None,Fail
86,images,86_testType_fonts_Cambria_8.png,"all English letters, Cambria font, size 8  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Fail
87,images,87_testType_fonts_Cambria_72.png,"all English letters, Cambria font, size 72  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
", Hebrew is not supported on this font,eng,None,None,None,None,Pass
